"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
9.368531880E-1,-8.586418629E-2,-5.970780849E-1,-2.990948677E0
9.418531880E-1,3.342747688E-3,-5.600750446E-1,-3.096866131E0
9.468531880E-1,3.679299355E-2,-5.656406879E-1,-3.131542683E0
9.518531880E-1,6.611657143E-2,-5.491595268E-1,-3.102393627E0
9.568531880E-1,1.264369488E-1,-5.408694744E-1,-3.081459522E0
9.618531880E-1,1.793283224E-1,-5.028727055E-1,-3.040895939E0
9.668531880E-1,2.240451574E-1,-4.560244083E-1,-2.991790295E0
9.718531880E-1,2.719801664E-1,-3.894047737E-1,-2.938262939E0
9.768531880E-1,2.540746927E-1,-3.545570374E-1,-2.890923023E0
9.818531880E-1,1.032307148E-1,-3.134217262E-1,-2.874022484E0
9.868531880E-1,2.164772749E-1,-2.522706985E-1,-2.921372414E0
9.918531880E-1,3.132761717E-1,-1.553099155E-1,-3.357492447E0
9.968531880E-1,1.812756062E-1,-7.646656036E-2,-4.259790897E0
1.001853188E0,-1.851735115E-1,3.814554214E-2,-4.921509266E0
1.006853188E0,-4.828648567E-1,5.244374275E-2,-4.665150642E0
1.011853188E0,-5.855929852E-1,-3.128409386E-2,-4.009335041E0
1.016853188E0,-3.966407776E-1,-1.493210793E-1,-3.377404213E0
1.021853188E0,-1.719331741E-2,-2.407305241E-1,-2.787552834E0
1.026853188E0,2.560274601E-1,-1.633515358E-1,-2.153954029E0
1.031853188E0,2.297146320E-1,9.316229820E-2,-1.589613438E0
1.036853188E0,7.871580124E-2,3.886628151E-1,-1.070237637E0
1.041853188E0,-1.268227100E-1,5.779356956E-1,-6.414613724E-1
1.046853188E0,-3.579885960E-1,6.589469910E-1,-3.327445984E-1
1.051853188E0,-6.266539097E-1,6.369071007E-1,-3.392353058E-1
1.056853188E0,-8.419589996E-1,6.159567833E-1,-4.361200333E-1
1.061853188E0,-9.968078136E-1,6.680114269E-1,-4.360609055E-1
1.066853188E0,-1.061139107E0,7.399330139E-1,-4.150056839E-1
1.071853188E0,-1.005880833E0,7.522242069E-1,-4.629373550E-1
1.076853188E0,-8.700494766E-1,7.071144581E-1,-4.795761108E-1
1.081853188E0,-6.995337009E-1,6.756410599E-1,-5.082273483E-1
1.086853188E0,-4.605545998E-1,6.337153912E-1,-4.782218933E-1
1.091853188E0,-1.990804672E-1,6.361234188E-1,-4.872665405E-1
1.096853188E0,2.337241173E-2,6.464893818E-1,-5.270862579E-1
1.101853188E0,1.690878868E-1,6.686356068E-1,-5.412731171E-1
1.106853188E0,2.091517448E-1,6.785185337E-1,-5.425281525E-1
1.111853188E0,2.048380375E-1,6.927278042E-1,-5.143680573E-1
1.116853188E0,1.857373714E-1,6.879932880E-1,-4.737796783E-1
1.121853188E0,1.650421619E-1,6.724257469E-1,-4.123134613E-1
1.126853188E0,1.294715405E-1,6.919095516E-1,-3.363742828E-1
1.131853188E0,7.254981995E-2,7.136251926E-1,-2.675743103E-1
1.136853188E0,-6.215047836E-2,7.623338699E-1,-1.892900467E-1
1.141853188E0,-2.855510712E-1,8.104426861E-1,-1.284694672E-1
1.146853188E0,-4.805996418E-1,8.751900196E-1,-5.161476135E-2
1.151853188E0,-6.190636158E-1,9.296448231E-1,1.340866089E-3
1.156853188E0,-6.810910702E-1,9.627714157E-1,1.162834167E-1
1.161853188E0,-6.941387653E-1,9.866714478E-1,2.867546082E-1
1.166853188E0,-6.668202877E-1,9.898412228E-1,5.342082977E-1
1.171853188E0,-5.987093449E-1,9.999165535E-1,8.362379074E-1
1.176853188E0,-5.531835556E-1,1.013590336E0,1.166703224E0
1.181853188E0,-5.179910660E-1,9.872312546E-1,1.518871307E0
1.186853188E0,-4.766714573E-1,9.443881512E-1,1.820326805E0
1.191853188E0,-4.395821095E-1,8.943579197E-1,2.054987907E0
1.196853188E0,-4.200389385E-1,8.378398418E-1,2.256396294E0
1.201853188E0,-4.240195751E-1,7.772872448E-1,2.338217735E0
1.206853188E0,-4.023802280E-1,7.171907425E-1,2.344936371E0
1.211853188E0,-3.880484104E-1,6.448235512E-1,2.256412506E0
1.216853188E0,-3.686513901E-1,6.178801060E-1,2.170652390E0
1.221853188E0,-3.277590275E-1,6.031014919E-1,2.029299736E0
1.226853188E0,-2.904322147E-1,5.572445393E-1,1.839895248E0
1.231853188E0,-2.569706440E-1,5.288779736E-1,1.636467934E0
1.236853188E0,-2.445502281E-1,4.919705391E-1,1.433595657E0
1.241853188E0,-2.339434624E-1,4.454121590E-1,1.214798927E0
1.246853188E0,-2.351863384E-1,3.887035847E-1,1.024741173E0
1.251853188E0,-2.399618626E-1,3.395335674E-1,8.419742584E-1
1.256853188E0,-2.918796539E-1,2.720849514E-1,6.037044525E-1
1.261853188E0,-3.436303139E-1,2.599263191E-1,3.548517227E-1
1.266853188E0,-4.088901281E-1,2.459511757E-1,1.104307175E-1
1.271853188E0,-4.651781321E-1,2.445213795E-1,-8.501338959E-2
1.276853188E0,-5.642073154E-1,1.958351135E-1,-1.079902649E-1
1.281853188E0,-7.115683556E-1,1.578810215E-1,4.602527618E-2
1.286853188E0,-8.611801863E-1,1.003444195E-1,3.916568756E-1
1.291853188E0,-9.942274094E-1,1.456999779E-2,8.183231354E-1
1.296853188E0,-1.049927354E0,-1.278254986E-1,1.326671600E0
1.301853188E0,-1.014514446E0,-2.447748184E-1,1.854051590E0
1.306853188E0,-9.717388153E-1,-3.445274830E-1,2.388334274E0
1.311853188E0,-8.767609596E-1,-4.257173538E-1,2.815920830E0
1.316853188E0,-7.535055876E-1,-4.829301834E-1,3.079867363E0
1.321853188E0,-6.276576519E-1,-5.356163979E-1,3.138512611E0
1.326853188E0,-4.869265556E-1,-5.025441647E-1,3.075592041E0
1.331853188E0,-4.344285727E-1,-4.828639030E-1,2.994875908E0
1.336853188E0,-4.758638144E-1,-4.857084751E-1,2.757044792E0
1.341853188E0,-5.853443146E-1,-4.849779606E-1,2.360210419E0
1.346853188E0,-6.921205521E-1,-5.289907455E-1,1.899503708E0
1.351853188E0,-7.480422258E-1,-5.752453804E-1,1.364165306E0
1.356853188E0,-7.480270863E-1,-5.724327564E-1,7.954692841E-1
1.361853188E0,-7.066588402E-1,-5.693442822E-1,2.056617737E-1
1.366853188E0,-6.525590420E-1,-5.307214260E-1,-2.621517181E-1
1.371853188E0,-6.038650274E-1,-5.372815132E-1,-7.133979797E-1
1.376853188E0,-5.801559687E-1,-5.446274281E-1,-1.026852608E0
1.381853188E0,-5.906891823E-1,-5.527029037E-1,-1.252027512E0
1.386853188E0,-5.982105732E-1,-5.635232925E-1,-1.396995068E0
1.391853188E0,-6.031159163E-1,-5.749909878E-1,-1.490560055E0
1.396853188E0,-5.673110485E-1,-5.556046963E-1,-1.513144970E0
1.401853188E0,-5.182549953E-1,-5.322012901E-1,-1.440109253E0
1.406853188E0,-4.750154018E-1,-5.338728428E-1,-1.291110992E0
1.411853188E0,-4.388376474E-1,-5.751419067E-1,-1.049753189E0
1.416853188E0,-4.431649446E-1,-6.140716076E-1,-7.832908630E-1
1.421853188E0,-4.422760010E-1,-6.541233063E-1,-4.491081238E-1
1.426853188E0,-4.555772543E-1,-6.590962410E-1,-1.388587952E-1
1.431853188E0,-4.210089445E-1,-6.553449631E-1,1.051092148E-1
1.436853188E0,-3.684331179E-1,-6.553866863E-1,2.573776245E-1
1.441853188E0,-3.061105013E-1,-6.584830284E-1,3.771314621E-1
1.446853188E0,-2.123250961E-1,-6.430437565E-1,4.486684799E-1
1.451853188E0,-1.098245382E-1,-6.297240257E-1,4.841680527E-1
1.456853188E0,-1.048529148E-2,-6.352579594E-1,4.959602356E-1
1.461853188E0,1.092568636E-1,-6.486470699E-1,4.988050461E-1
1.466853188E0,2.407351732E-1,-6.622848511E-1,4.184274673E-1
1.471853188E0,3.658326864E-1,-6.712217331E-1,3.197441101E-1
1.476853188E0,4.715631604E-1,-6.581163406E-1,1.491718292E-1
1.481853188E0,5.620118976E-1,-6.471650600E-1,-7.679176331E-2
1.486853188E0,6.051288843E-1,-6.206142902E-1,-3.679447174E-1
1.491853188E0,6.102415919E-1,-5.781164169E-1,-6.887788773E-1
1.496853188E0,5.923385024E-1,-5.321512222E-1,-1.022021294E0
1.501853188E0,5.757143497E-1,-4.731943607E-1,-1.371793747E0
1.506853188E0,5.726069808E-1,-4.176614285E-1,-1.713278770E0
1.511853188E0,5.738897920E-1,-3.339543343E-1,-2.028515816E0
1.516853188E0,5.785408616E-1,-2.643129826E-1,-2.306014061E0
1.521853188E0,5.975728631E-1,-2.209389210E-1,-2.544214725E0
1.526853188E0,5.862929225E-1,-1.574256420E-1,-2.730614185E0
1.531853188E0,5.569568872E-1,-8.259797096E-2,-2.886095524E0
1.536853188E0,5.251106024E-1,-8.024930954E-3,-2.984554768E0
1.541853188E0,4.683532715E-1,5.786061287E-2,-3.034838676E0
1.546853188E0,4.463694692E-1,8.306837082E-2,-3.068583012E0
1.551853188E0,4.160560966E-1,9.957361221E-2,-3.085163593E0
1.556853188E0,3.987534642E-1,1.224853992E-1,-3.071778774E0
1.561853188E0,3.781346679E-1,1.189987659E-1,-3.037743092E0
1.566853188E0,3.623144627E-1,1.434605122E-1,-2.962778091E0
1.571853188E0,3.320173025E-1,1.547625065E-1,-2.822029114E0
1.576853188E0,3.088767529E-1,1.396007538E-1,-2.639461994E0
1.581853188E0,2.957913876E-1,1.173279285E-1,-2.429402828E0
1.586853188E0,3.197274208E-1,7.735466957E-2,-2.273974895E0
1.591853188E0,3.700498939E-1,6.433916092E-2,-2.128048420E0
1.596853188E0,4.226020575E-1,6.940793991E-2,-1.960483074E0
1.601853188E0,4.573164284E-1,9.409213066E-2,-1.769625664E0
1.606853188E0,4.463014007E-1,1.083576679E-1,-1.595453739E0
1.611853188E0,4.232802689E-1,1.021566391E-1,-1.417604446E0
1.616853188E0,3.461881876E-1,1.667096615E-1,-1.246750832E0
1.621853188E0,2.515943050E-1,2.561850548E-1,-1.067416191E0
1.626853188E0,1.379003525E-1,3.417501450E-1,-8.791351318E-1
1.631853188E0,4.840916395E-2,3.976528645E-1,-7.002182007E-1
1.636853188E0,-1.007503271E-2,4.640173912E-1,-5.127058029E-1
1.641853188E0,-6.337797642E-2,4.864327908E-1,-3.409719467E-1
1.646853188E0,-8.699107170E-2,5.117392540E-1,-2.175064087E-1
1.651853188E0,-9.588450193E-2,5.286827087E-1,-1.033020020E-1
1.656853188E0,-1.173774004E-1,5.396542549E-1,-1.042556763E-2
1.661853188E0,-1.346510053E-1,5.637145042E-1,5.774974823E-2
1.666853188E0,-1.066293120E-1,5.855660439E-1,8.177375793E-2
1.671853188E0,-3.778493404E-2,5.746951103E-1,5.158424377E-2
1.676853188E0,5.912107229E-2,5.629775524E-1,8.480072021E-3
1.681853188E0,2.161597610E-1,4.894342422E-1,-4.095363617E-2
1.686853188E0,3.580738902E-1,4.121167660E-1,-1.267862320E-1
1.691853188E0,3.300878704E-1,4.436540604E-1,-1.882104874E-1
1.696853188E0,3.069189191E-1,4.571528435E-1,-2.404174805E-1
1.701853188E0,2.803890705E-1,4.693520069E-1,-2.771978378E-1
1.706853188E0,2.276324630E-1,4.855892658E-1,-2.846307755E-1
1.711853188E0,1.575234532E-1,4.959282875E-1,-2.426986694E-1
1.716853188E0,9.054702520E-2,4.460487366E-1,-1.783733368E-1
1.721853188E0,4.961511493E-2,4.177975655E-1,-8.980178833E-2
1.726853188E0,1.969307661E-2,4.107885361E-1,-2.337169647E-2
1.731853188E0,4.286456108E-2,4.022355080E-1,1.635742188E-2
1.736853188E0,3.168278933E-2,3.831360340E-1,1.673135757E-1
1.741853188E0,-2.494841814E-3,3.646783829E-1,3.423547745E-1
1.746853188E0,-2.929326892E-2,3.751938343E-1,5.043640137E-1
1.751853188E0,-6.632158160E-2,4.124457836E-1,6.701059341E-1
1.756853188E0,-1.201240122E-1,4.531805515E-1,7.815818787E-1
